,picture,name,author,price,score,sum
211,https://img2.doubanio.com/view/subject/s/public/s1024472.jpg,顾城的诗,顾城 ,顾城 ,8.8,火焰是我们诗歌唯一的读者
212,https://img9.doubanio.com/view/subject/s/public/s28297426.jpg,南京大屠杀:第二次世界大战中被遗忘的大浩劫,[美]张纯如（Iris Chang） ,[美]张纯如（Iris Chang） ,9.7,
213,https://img1.doubanio.com/view/subject/s/public/s33986279.jpg,筚路维艰:中国社会主义路径的五次选择,萧冬连 ,萧冬连 ,9.6,
214,https://img1.doubanio.com/view/subject/s/public/s2897060.jpg,象棋的故事,[奥] 斯蒂芬·茨威格 ,[奥] 斯蒂芬·茨威格 ,9.1,纳粹法西斯对人心灵的折磨及摧残
215,https://img2.doubanio.com/view/subject/s/public/s27264181.jpg,解忧杂货店,[日] 东野圭吾 ,[日] 东野圭吾 ,8.5,现代人内心流失的东西，这家杂货店能帮你找回
216,https://img2.doubanio.com/view/subject/s/public/s33884123.jpg,流俗地,【马来西亚】黎紫书 ,【马来西亚】黎紫书 ,9.2,
217,https://img1.doubanio.com/view/subject/s/public/s3993878.jpg,亲爱的安德烈,龙应台 ,龙应台 ,8.6,弭平代沟，跨越文化阻隔
218,https://img1.doubanio.com/view/subject/s/public/s3984108.jpg,目送,龙应台 ,龙应台 ,8.6,不必追
219,https://img9.doubanio.com/view/subject/s/public/s2170316.jpg,总统是靠不住的:近距离看美国之二,林达 ,林达 ,8.8,美国政治法律制度的基本原理和操作细节
220,https://img9.doubanio.com/view/subject/s/public/s1950424.jpg,上学记,何兆武 口述 ,何兆武 口述 ,8.9,20世纪中国知识分子的心灵史
221,https://img9.doubanio.com/view/subject/s/public/s28397415.jpg,二手时间,[白俄] S. A. 阿列克谢耶维奇 ,[白俄] S. A. 阿列克谢耶维奇 ,8.9,用最为细小的马赛克拼出了一幅完整的后苏联时代图景
222,https://img1.doubanio.com/view/subject/s/public/s1146040.jpg,骆驼祥子,老舍 ,老舍 ,8.6,旧中国老北京贫苦市民的典型命运
223,https://img1.doubanio.com/view/subject/s/public/s28284337.jpg,火星救援,[美]安迪•威尔 ,[美]安迪•威尔 ,8.9,跟火星来一场不是你死就是我活的过家家游戏
224,https://img9.doubanio.com/view/subject/s/public/s24174596.jpg,毛姆短篇小说精选集,[英] 威廉·萨默塞特·毛姆 ,[英] 威廉·萨默塞特·毛姆 ,9.1,在各种光怪陆离的场景中，迷失的人性引发了一连串的悲剧
225,https://img9.doubanio.com/view/subject/s/public/s10206185.jpg,东晋门阀政治,田余庆 ,田余庆 ,9.5,
226,https://img1.doubanio.com/view/subject/s/public/s24598159.jpg,众病之王:癌症传,[美] 悉达多·穆克吉 ,[美] 悉达多·穆克吉 ,9.0,癌症传
227,https://img2.doubanio.com/view/subject/s/public/s1072541.jpg,青铜时代:时代三部曲,王小波 ,王小波 ,8.8,唐人传奇贯注现代情趣
